comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score,identity_residual_on_base_top1,identity_residual_on_candidate_top1,identity_residual_on_source_image,identity_contribution_on_base_top1,identity_contribution_on_candidate_top1,identity_contribution_on_source_image
v16.2_observation_vs_v16.2_final,170,4857,85,G2APS/D1_30_004485_1_train.jpg,0,G2APS,0,stable_wrong,0,0,2332,5329,G2APS/S4_40_000371_1_train.jpg,1,G2APS,2332,5329,G2APS/S4_40_000371_1_train.jpg,1,G2APS,10,13,-3,0.05974026024341583,0.05536779761314392,-0.004372462630271912,0.04285714402794838,0.04918032884597778,0.006323184818029404,0.800000011920929,0.5213097333908081,0.5118017792701721,-0.08516639471054077,-0.08516639471054077,-0.11271953582763672,-0.009526793464469385,-0.009526793464469385,-0.012608913890161944
v16.2_observation_vs_v16.2_final,172,4857,86,G2APS/D1_30_004635_0_train.jpg,0,G2APS,0,stable_wrong,0,0,3032,5530,G2APS/S4_50_001232_4_train.jpg,1,G2APS,3032,5530,G2APS/S4_50_001232_4_train.jpg,1,G2APS,10,12,-2,0.11666666716337204,0.11570049077272415,-0.0009661763906478882,0.125,0.1304347813129425,0.005434781312942505,0.8999999761581421,0.5418053269386292,0.5278499126434326,-0.12474170327186584,-0.12474170327186584,-0.1317031979560852,-0.013953724911289545,-0.013953724911289545,-0.014732444290992852
v16.2_observation_vs_v16.2_final,174,4858,87,G2APS/D1_30_004590_1_train.jpg,0,G2APS,0,stable_wrong,0,0,75,4854,G2APS/D1_30_003705_1_train.jpg,0,G2APS,75,4854,G2APS/D1_30_003705_1_train.jpg,0,G2APS,2,3,-1,0.10932550579309464,0.07619985193014145,-0.033125653862953186,0.006031363271176815,0.006203474011272192,0.00017211074009537697,0.800000011920929,0.5889952182769775,0.5824315547943115,-0.05841171741485596,-0.05841171741485596,-0.07896485924720764,-0.006533989957043573,-0.006533989957043573,-0.008833083841999656
v16.2_observation_vs_v16.2_final,175,4858,87,G2APS/D1_30_004590_1_train.jpg,0,G2APS,1,stable_wrong,0,0,75,4854,G2APS/D1_30_003705_1_train.jpg,0,G2APS,75,4854,G2APS/D1_30_003705_1_train.jpg,0,G2APS,8,9,-1,0.03109988011419773,0.028338953852653503,-0.0027609262615442276,0.0009613535949029028,0.0009844457963481545,2.3092201445251703e-05,0.8999999761581421,0.5936713218688965,0.5840390920639038,-0.08578836917877197,-0.08578836917877197,-0.07636740803718567,-0.009596368116762122,-0.009596368116762122,-0.008542530492923195
v16.2_observation_vs_v16.2_final,177,4858,88,G2APS/S1_30_002345_0_train.jpg,1,G2APS,1,stable_wrong,0,0,6428,6293,PRAI-1581/00001338_0002_00000001.jpg,0,PRAI-1581,6428,6293,PRAI-1581/00001338_0002_00000001.jpg,0,PRAI-1581,16,18,-2,0.03350566327571869,0.03132198750972748,-0.002183675765991211,0.0015948963118717074,0.0016254876973107457,3.059138543903828e-05,0.8999999761581421,0.6049793362617493,0.5919036269187927,-0.1165807843208313,-0.1165807843208313,-0.15489014983177185,-0.01304083679865986,-0.01304083679865986,-0.017326158658508728
v16.2_observation_vs_v16.2_final,179,4858,89,G2APS/S1_30_002338_1_train.jpg,1,G2APS,1,stable_wrong,0,0,6276,6255,PRAI-1581/00001080_0001_00000009.jpg,0,PRAI-1581,6276,6255,PRAI-1581/00001080_0001_00000009.jpg,0,PRAI-1581,29,31,-2,0.019566629081964493,0.01960505172610283,3.842264413833618e-05,0.002243158407509327,0.0025239777751266956,0.0002808193676173687,0.8999999761581421,0.5809592604637146,0.5682305693626404,-0.11351269483566284,-0.11351269483566284,-0.05545687675476074,-0.01269763740698604,-0.01269763740698604,-0.006203458686055541
v16.2_observation_vs_v16.2_final,191,4859,95,G2APS/D1_30_005190_0_train.jpg,0,G2APS,1,stable_wrong,0,0,6097,6210,PRAI-1581/00000789_0001_00000000.jpg,0,PRAI-1581,6097,6210,PRAI-1581/00000789_0001_00000000.jpg,0,PRAI-1581,17,20,-3,0.030715996399521828,0.029132269322872162,-0.0015837270766496658,0.020725388079881668,0.02010050229728222,-0.0006248857825994492,0.8999999761581421,0.534041166305542,0.5335955619812012,-0.0039882659912109375,-0.0039882659912109375,-0.06581047177314758,-0.00044613120596181943,-0.00044613120596181943,-0.007361621617457903
v16.2_observation_vs_v16.2_final,198,4860,99,G2APS/D1_30_005295_4_train.jpg,0,G2APS,0,stable_wrong,0,0,6463,6301,PRAI-1581/00001369_0001_00000001.jpg,0,PRAI-1581,6463,6301,PRAI-1581/00001369_0001_00000001.jpg,0,PRAI-1581,15,16,-1,0.017670752480626106,0.01666547730565071,-0.0010052751749753952,0.0019005384529009461,0.001983470981940627,8.293252903968096e-05,1.0,0.5543102622032166,0.543919026851654,-0.09296879172325134,-0.09296879172325134,-0.11778441071510315,-0.01039957697398064,-0.01039957697398064,-0.013175475585537999
v16.2_observation_vs_v16.2_final,199,4860,99,G2APS/D1_30_005295_4_train.jpg,0,G2APS,1,stable_wrong,0,0,1488,5108,G2APS/D7_30_001965_3_gallery.jpg,0,G2APS,1488,5108,G2APS/D7_30_001965_3_gallery.jpg,0,G2APS,29,33,-4,0.0223546102643013,0.02140306867659092,-0.0009515415877103806,0.0077720205299556255,0.008163264952600002,0.00039124442264437675,1.0,0.646004855632782,0.620372474193573,-0.2290792465209961,-0.2290792465209961,-0.19477491080760956,-0.025625021183756758,-0.025625021183756758,-0.021787705745102803
v16.2_observation_vs_v16.2_final,200,4860,100,G2APS/S1_30_002716_5_train.jpg,1,G2APS,0,stable_wrong,0,0,5693,6109,PRAI-1581/00000237_0001_00000006.jpg,0,PRAI-1581,7179,6491,uavhuman/P106S08G10B30H20UC021000LC021000A142R0_09261734_077_bbx.jpg,0,uavhuman,160,161,-1,0.005408152937889099,0.005578971933573484,0.0001708189956843853,0.00460122711956501,0.004979253280907869,0.00037802616134285927,0.8999999761581421,0.616373598575592,0.5982159376144409,-0.2390875518321991,-0.13426291942596436,-0.16383317112922668,-0.026744559681931346,-0.015018777155651364,-0.01832653347933766
v16.2_observation_vs_v16.2_final,206,4861,103,G2APS/S1_41_000504_1_train.jpg,1,G2APS,0,stable_wrong,0,0,5539,6070,PRAI-1581/00000005_0001_00000002.jpg,0,PRAI-1581,5539,6070,PRAI-1581/00000005_0001_00000002.jpg,0,PRAI-1581,24,32,-8,0.034165386110544205,0.028561165556311607,-0.005604220554232597,0.02857142873108387,0.0258620698004961,-0.0027093589305877686,1.0,0.5610289573669434,0.5520217418670654,-0.08074432611465454,-0.08074432611465454,-0.08958745002746582,-0.009032136688849057,-0.009032136688849057,-0.010021336893746735
v16.2_observation_vs_v16.2_final,215,4862,107,G2APS/D1_41_001095_2_train.jpg,0,G2APS,1,stable_wrong,0,0,1307,5071,G2APS/D5_40_006780_3_train.jpg,0,G2APS,1307,5071,G2APS/D5_40_006780_3_train.jpg,0,G2APS,37,41,-4,0.017404912039637566,0.016119929030537605,-0.0012849830090999603,0.0013658092357218266,0.0013407821534201503,-2.5027082301676273e-05,0.8999999761581421,0.5293116569519043,0.4998074173927307,-0.2632499039173126,-0.2632499039173126,-0.2520829737186432,-0.029447383239427527,-0.029447383239427527,-0.028198239865489416
v16.2_observation_vs_v16.2_final,224,4863,112,G2APS/S1_41_000735_2_train.jpg,1,G2APS,0,stable_wrong,0,0,1165,5047,G2APS/S5_20_003864_5_train.jpg,1,G2APS,1165,5047,G2APS/S5_20_003864_5_train.jpg,1,G2APS,25,30,-5,0.015069215558469296,0.013027896173298359,-0.0020413193851709366,0.0025445292703807354,0.0029013538733124733,0.0003568246029317379,0.8999999761581421,0.587268054485321,0.5698071122169495,-0.15629884600639343,-0.15629884600639343,-0.16712801158428192,-0.017483736744976053,-0.017483736744976053,-0.0186950974489688
v16.2_observation_vs_v16.2_final,226,4863,113,G2APS/S1_41_000721_2_train.jpg,1,G2APS,0,stable_wrong,0,0,1819,5194,G2APS/D2_20_010605_12_train.jpg,0,G2APS,1819,5194,G2APS/D2_20_010605_12_train.jpg,0,G2APS,39,42,-3,0.016026288270950317,0.01570621319115162,-0.0003200750797986984,0.001819284399971366,0.0020325202494859695,0.00021323584951460361,0.800000011920929,0.5816436409950256,0.5745410919189453,-0.06306242942810059,-0.06306242942810059,-0.18276438117027283,-0.007054223001585314,-0.007054223001585314,-0.020444196540061466
v16.2_observation_vs_v16.2_final,249,4866,124,G2APS/S2_20_000840_0_train.jpg,1,G2APS,1,stable_wrong,0,0,2595,5405,G2APS/S6_40_000483_1_train.jpg,1,G2APS,2595,5405,G2APS/S6_40_000483_1_train.jpg,1,G2APS,41,50,-9,0.01876961626112461,0.017886901274323463,-0.0008827149868011475,0.01149425283074379,0.0139860138297081,0.0024917609989643097,1.0,0.4632818400859833,0.47263363003730774,0.08325877785682678,0.08325877785682678,-0.06419628858566284,0.009313405638949224,0.009313405638949224,-0.0071810575593778125
v16.2_observation_vs_v16.2_final,253,4866,126,G2APS/S2_20_000889_8_train.jpg,1,G2APS,1,break,1,0,127,4866,G2APS/S2_20_000875_9_train.jpg,1,G2APS,6108,6213,PRAI-1581/00000805_0001_00000019.jpg,0,PRAI-1581,1,2,-1,0.6768791079521179,0.6329365372657776,-0.04394257068634033,0.3529411852359772,0.5,0.14705881476402283,1.0,0.5719372034072876,0.560822069644928,-0.11861181259155273,-0.03142136335372925,-0.1303500533103943,-0.013268029542011561,-0.0035148234237274423,-0.014581080251093503
v16.2_observation_vs_v16.2_final,258,4867,129,G2APS/D2_20_001515_12_train.jpg,0,G2APS,0,stable_wrong,0,0,6815,6395,uavhuman/P071S02G10B00H40UC022000LC092000A051R0_09131939_259_bbx.jpg,0,uavhuman,6815,6395,uavhuman/P071S02G10B00H40UC022000LC092000A051R0_09131939_259_bbx.jpg,0,uavhuman,10,11,-1,0.04951343312859535,0.04827246069908142,-0.0012409724295139313,0.006700167432427406,0.007130124606192112,0.00042995717376470566,0.8999999761581421,0.5375897288322449,0.5251676440238953,-0.11096850037574768,-0.11096850037574768,-0.015823811292648315,-0.012413041408347869,-0.012413041408347869,-0.0017700664976856295
v16.2_observation_vs_v16.2_final,263,4867,131,G2APS/S2_20_000994_0_train.jpg,1,G2APS,1,stable_wrong,0,0,1906,5217,G2APS/S2_50_001379_5_train.jpg,1,G2APS,1906,5217,G2APS/S2_50_001379_5_train.jpg,1,G2APS,70,87,-17,0.004258620087057352,0.0035914983600378036,-0.0006671217270195484,0.0011386279948055744,0.0012070005759596825,6.837258115410805e-05,1.0,0.5101991891860962,0.49697399139404297,-0.11812925338745117,-0.11812925338745117,-0.16963951289653778,-0.013214050013026224,-0.013214050013026224,-0.018976036361187942
v16.2_observation_vs_v16.2_final,268,4868,134,G2APS/S2_20_001141_0_train.jpg,1,G2APS,0,stable_wrong,0,0,1897,5214,G2APS/S2_50_000623_3_train.jpg,1,G2APS,1897,5214,G2APS/S2_50_000623_3_train.jpg,1,G2APS,12,15,-3,0.03421939164400101,0.03250742331147194,-0.001711968332529068,0.012738853693008423,0.014117646962404251,0.0013787932693958282,1.0,0.51731276512146,0.4942817687988281,-0.20599764585494995,-0.20599764585494995,-0.10702955722808838,-0.023043091502194635,-0.023043091502194635,-0.011972427502316307
v16.2_observation_vs_v16.2_final,272,4868,136,G2APS/D2_20_001845_10_train.jpg,0,G2APS,0,stable_wrong,0,0,169,4874,G2APS/D2_20_004350_13_train.jpg,0,G2APS,169,4874,G2APS/D2_20_004350_13_train.jpg,0,G2APS,10,14,-4,0.09058993309736252,0.09176944941282272,0.001179516315460205,0.024291498586535454,0.027272727340459824,0.00298122875392437,0.8999999761581421,0.6271016597747803,0.6125078201293945,-0.1301977038383484,-0.1301977038383484,-0.13665887713432312,-0.014564038295055148,-0.014564038295055148,-0.015286791251055032
v16.2_observation_vs_v16.2_final,274,4868,137,G2APS/S2_20_001155_3_train.jpg,1,G2APS,0,stable_wrong,0,0,5887,6157,PRAI-1581/00000460_0001_00000010.jpg,0,PRAI-1581,5887,6157,PRAI-1581/00000460_0001_00000010.jpg,0,PRAI-1581,6,7,-1,0.06794656068086624,0.06738290935754776,-0.0005636513233184814,0.02150537632405758,0.026905829086899757,0.005400452762842178,1.0,0.5542705655097961,0.5370359420776367,-0.15376970171928406,-0.15376970171928406,-0.05686390399932861,-0.017200824272902704,-0.017200824272902704,-0.006360850084428549
v16.2_observation_vs_v16.2_final,311,4871,155,G2APS/D2_20_004335_7_train.jpg,0,G2APS,1,stable_wrong,0,0,2580,5402,G2APS/D6_30_000090_0_train.jpg,0,G2APS,2580,5402,G2APS/D6_30_000090_0_train.jpg,0,G2APS,2,3,-1,0.367657333612442,0.3421628475189209,-0.025494486093521118,0.0923076942563057,0.10169491171836853,0.009387217462062836,0.8999999761581421,0.6966767907142639,0.6755691766738892,-0.1888514757156372,-0.1888514757156372,-0.19315725564956665,-0.02112510469320661,-0.02112510469320661,-0.021606753309112214
v16.2_observation_vs_v16.2_final,338,4874,169,G2APS/D2_20_004350_13_train.jpg,0,G2APS,0,stable_wrong,0,0,1849,5199,G2APS/S2_40_003339_1_train.jpg,1,G2APS,1849,5199,G2APS/S2_40_003339_1_train.jpg,1,G2APS,59,60,-1,0.01783941499888897,0.018244534730911255,0.00040511973202228546,0.017142856493592262,0.017804155126214027,0.0006612986326217651,1.0,0.5716941356658936,0.5548450350761414,-0.15078893303871155,-0.15078893303871155,-0.05795249342918396,-0.01686739266902082,-0.01686739266902082,-0.006482620727662702
v16.2_observation_vs_v16.2_final,339,4874,169,G2APS/D2_20_004350_13_train.jpg,0,G2APS,1,stable_wrong,0,0,749,4975,G2APS/D4_20_005640_0_train.jpg,0,G2APS,749,4975,G2APS/D4_20_005640_0_train.jpg,0,G2APS,19,23,-4,0.03927608206868172,0.03591473773121834,-0.003361344337463379,0.006185567006468773,0.0069204154424369335,0.0007348484359681606,1.0,0.5793113708496094,0.5664246678352356,-0.11496680974960327,-0.11496680974960327,-0.10866343975067139,-0.01286029607659156,-0.01286029607659156,-0.012155195146652531
v16.2_observation_vs_v16.2_final,352,4875,176,G2APS/S2_20_002492_0_train.jpg,1,G2APS,0,stable_wrong,0,0,975,5013,G2APS/S4_30_002156_0_train.jpg,1,G2APS,975,5013,G2APS/S4_30_002156_0_train.jpg,1,G2APS,20,23,-3,0.013302290812134743,0.012158582918345928,-0.0011437078937888145,0.004068348091095686,0.004476275760680437,0.00040792766958475113,1.0,0.544198751449585,0.5231167078018188,-0.18863624334335327,-0.18863624334335327,-0.16187062859535217,-0.02110102859647167,-0.02110102859647167,-0.01810700161528489
v16.2_observation_vs_v16.2_final,353,4875,176,G2APS/S2_20_002492_0_train.jpg,1,G2APS,1,stable_wrong,0,0,2094,5268,G2APS/D3_30_010260_5_train.jpg,0,G2APS,2094,5268,G2APS/D3_30_010260_5_train.jpg,0,G2APS,127,129,-2,0.002348498906940222,0.002406130079180002,5.7631172239780426e-05,0.0009328357991762459,0.0010262725409120321,9.34367417357862e-05,1.0,0.5047796368598938,0.4950779676437378,-0.08665284514427185,-0.08665284514427185,-0.07728499174118042,-0.009693069215902295,-0.009693069215902295,-0.008645172273921808
v16.2_observation_vs_v16.2_final,357,4875,178,G2APS/D2_20_004665_12_train.jpg,0,G2APS,1,stable_wrong,0,0,137,4868,G2APS/S2_20_001155_3_train.jpg,1,G2APS,137,4868,G2APS/S2_20_001155_3_train.jpg,1,G2APS,52,54,-2,0.018976693972945213,0.01797947660088539,-0.000997217372059822,0.0009502090397290885,0.0010185373248532414,6.83282851241529e-05,0.800000011920929,0.5084057450294495,0.47742635011672974,-0.2771580219268799,-0.2771580219268799,-0.18731756508350372,-0.03100315847456514,-0.03100315847456514,-0.020953519999091563
v16.2_observation_vs_v16.2_final,358,4875,179,G2APS/D2_20_004770_12_train.jpg,0,G2APS,0,stable_wrong,0,0,209,4880,G2APS/S2_20_004340_0_train.jpg,1,G2APS,209,4880,G2APS/S2_20_004340_0_train.jpg,1,G2APS,9,10,-1,0.043625738471746445,0.043609462678432465,-1.6275793313980103e-05,0.0018214936135336757,0.0021052630618214607,0.00028376944828778505,0.8999999761581421,0.5927186608314514,0.5787510871887207,-0.12453904747962952,-0.12453904747962952,-0.121071457862854,-0.013931055642693924,-0.013931055642693924,-0.013543167788443
v16.2_observation_vs_v16.2_final,359,4875,179,G2APS/D2_20_004770_12_train.jpg,0,G2APS,1,stable_wrong,0,0,227,4883,G2APS/S2_20_005285_4_train.jpg,1,G2APS,423,4918,G2APS/D2_50_002550_8_train.jpg,0,G2APS,10,12,-2,0.03716398403048515,0.03487561643123627,-0.002288367599248886,0.003668378572911024,0.003924646880477667,0.00025626830756664276,0.8999999761581421,0.5848660469055176,0.5647093057632446,-0.1876746416091919,-0.16100472211837769,-0.15420526266098022,-0.02099346291698545,-0.01801014049777816,-0.01724954653180344
v16.2_observation_vs_v16.2_final,360,4876,180,G2APS/D2_20_004965_8_train.jpg,0,G2APS,0,stable_wrong,0,0,5728,6117,PRAI-1581/00000279_0001_00000006.jpg,0,PRAI-1581,5728,6117,PRAI-1581/00000279_0001_00000006.jpg,0,PRAI-1581,10,12,-2,0.05906403437256813,0.0530533492565155,-0.0060106851160526276,0.0017113519133999944,0.0017862459644675255,7.489405106753111e-05,0.8999999761581421,0.5588997006416321,0.5430732369422913,-0.1414181888103485,-0.1414181888103485,-0.20991277694702148,-0.01581917235659125,-0.01581917235659125,-0.02348104176916621
v16.2_observation_vs_v16.2_final,361,4876,180,G2APS/D2_20_004965_8_train.jpg,0,G2APS,1,stable_wrong,0,0,6389,6283,PRAI-1581/00001290_0002_00000003.jpg,0,PRAI-1581,400,4914,G2APS/S2_40_002163_4_train.jpg,1,G2APS,500,512,-12,0.0034138476476073265,0.003623443888500333,0.00020959624089300632,0.004073319956660271,0.0044742729514837265,0.0004009529948234558,0.8999999761581421,0.5769503116607666,0.5572811365127563,-0.18523910641670227,-0.1163683831691742,-0.030923783779144287,-0.020721021646773696,-0.013017077404942068,-0.003459163701893253
v16.2_observation_vs_v16.2_final,369,4876,184,G2APS/S2_20_002590_4_train.jpg,1,G2APS,1,stable_wrong,0,0,58,4850,G2APS/S1_30_000987_2_train.jpg,1,G2APS,58,4850,G2APS/S1_30_000987_2_train.jpg,1,G2APS,19,26,-7,0.02419382892549038,0.022152258083224297,-0.0020415708422660828,0.002481389557942748,0.002964426763355732,0.0004830372054129839,0.8999999761581421,0.5377997756004333,0.5373099446296692,-0.004529893398284912,-0.004529893398284912,-0.007327944040298462,-0.0005067181599995862,-0.0005067181599995862,-0.0008197107512697421
v16.2_observation_vs_v16.2_final,386,4878,193,G2APS/S2_20_003409_1_train.jpg,1,G2APS,0,stable_wrong,0,0,227,4883,G2APS/S2_20_005285_4_train.jpg,1,G2APS,227,4883,G2APS/S2_20_005285_4_train.jpg,1,G2APS,10,11,-1,0.07042772322893143,0.0670633316040039,-0.0033643916249275208,0.012121211737394333,0.01287553645670414,0.0007543247193098068,0.8999999761581421,0.6157890558242798,0.5987612009048462,-0.152163565158844,-0.152163565158844,-0.1536290943622589,-0.0170211603181345,-0.0170211603181345,-0.017185095800956507
v16.2_observation_vs_v16.2_final,392,4878,196,G2APS/D2_20_006180_4_train.jpg,0,G2APS,0,stable_wrong,0,0,2857,5475,G2APS/D8_20_004995_1_gallery.jpg,0,G2APS,2857,5475,G2APS/D8_20_004995_1_gallery.jpg,0,G2APS,4,6,-2,0.08209186047315598,0.06669460982084274,-0.015397250652313232,0.005499541759490967,0.005540166050195694,4.062429070472717e-05,0.8999999761581421,0.6425603032112122,0.6190506219863892,-0.21041253209114075,-0.21041253209114075,-0.25022178888320923,-0.023536944852266206,-0.023536944852266206,-0.027990045969450428
